Time (ka),Stack Benthic d18O (per mil),Standard error (per mil),depthODP849cm,d18Oforams-b,d13Cforams-b,depthODP846,d18Oforams-b,d13Cforams-b,depth,18MD00-2374vsPDB,13MD00-2374vsPDB,depth,18MD00-2374vsPDB-pl,13MD00-2374vsPDB-pl
193,3.281,0.047,2063,3.51,0.24,1761,4.46,-0.457,1785,3.28,1.07,1531,3.6818798,-0.51529602
194,3.202,0.065,2070,3.84,-0.11,1771,4.44,-0.35,1789,3.28,1.14,1535,3.65972,-0.38404525
195,3.265,0.052,2071,3.85,-0.06,1790,4.43,-0.35,1793,3.29,1.07,1537,3.7023355,-0.51657257
196,3.183,0.042,2078,3.68,0.03,1793,4.52,-0.44,1797,3.27,1.14,1541,3.7188567,-0.15658799
197,3.101,0.058,2085,3.955,-0.155,1800,4.55,-0.46,1801,3.2,1.07,1545,3.723896,-0.41421798
198,3.183,0.044,2092,4.15,-0.17,1803,4.45,-0.44,1805,3.22,1.22,1549,3.8305576,-0.42340938
199,2.932,0.049,2100,4.34,-0.21,1810,4.64,-0.39,1809,3.12,1.13,1553,3.7493186,-0.32606325
200,2.89,0.068,2116,4.33,-0.11,1820,4.71,-0.42,1813,3.12,1.23,1557,3.7318362,-0.45881013
201,2.889,0.028,2123,4.37,-0.33,1830,4.59,-0.45,1817,3.08,1.14,1565,3.6270042,-0.1954113
202,2.986,0.055,2124,4.38,-0.28,1841,4.61,-0.39,1821,3.04,1.25,1569,3.6578049,-0.49987409
203,2.968,0.065,2133,4.37,-0.31,1851,4.64,-0.37,1825,2.9,1.18,1573,3.5984849,-0.14750156
204,3.143,0.053,2141,4.24,-0.03,1861,4.43,-0.22,1829,2.94,1.24,1577,3.557405,-0.20018058
205,3.185,0.062,2142,4.06,-0.07,1871,4.26,-0.08,1833,2.705,1.02,1581,3.5181446,-0.089033032
206,3.128,0.073,2150,4.26,-0.23,1881,4.04,-0.12,1837,2.96,0.82,1585,3.6650919,0.34046481
207,3.145,0.075,2159,4.22,-0.27,1891,4.08,0.1,1884,3.52,0.52,1589,3.6108239,-0.09199161
208,3.074,0.074,2167,4.17,-0.41,1905,3.93,0.16,1888,3.68,0.7,1593,3.6919664,-0.20833216
209,2.999,0.063,2175,4.105,-0.445,1915,3.82,0.25,1892,3.69,0.67,1597,3.5863482,0.35924284
210,2.935,0.068,2184,4.215,-0.41,1925,3.82,0.23,1896,3.78,0.71,1601,3.5111548,-0.25540788
211,2.96,0.057,2193,4.34,-0.475,1935,4.35,-0.24,1900,3.77,0.64,1605,3.4189089,-0.041360371
212,2.972,0.061,2203,4.18,-0.44,1945,3.87,0.11,1904,3.73,0.76,1609,3.5025056,-0.18766565
213,3.013,0.055,2213,4.03,-0.29,1955,3.94,0.13,1908,4.09,0.415,1613,3.4301438,0.014019888
214,2.919,0.065,2224,3.82,-0.205,1965,3.68,-0.01,1912,3.92,0.57,1617,3.3820279,-0.14090503
215,2.903,0.054,2235,3.64,0.04,1975,4.12,0.19,1916,3.87,0.73,1621,3.4113859,-0.014631955
216,2.89,0.042,2246,3.555,0.09,1985,4.21,0.16,1920,4,0.41,1625,3.3090381,-0.30413733
217,2.844,0.09,2257,3.51,-0.2,1995,4.26,0.22,1924,4.11,0.64,1629,3.2873653,-0.13771573
218,3.076,0.048,2267,3.56,-0.23,2005,4.39,0.29,1928,3.82,0.63,1633,3.3333166,-0.23019499
219,3.298,0.052,2276,3.97,-0.35,2015,4.38,0.25,1938,3.73,0.53,1637,3.5160773,-0.19999104
220,3.343,0.062,2285,3.99,-0.58,2025,4.26,0.2,1948,3.97,0.62,1641,3.4881412,-0.22599769
221,3.594,0.056,2294,4.62,-0.53,2027,4.07,0.13,1958,3.99,0.62,1645,3.53017645,-0.145816786
222,3.737,0.089,2303,4.36,-0.59,2035,4.12,0.07,1968,4.06,0.63,1649,3.5251768,-0.33171532
223,3.801,0.067,2312,4.31,-0.3,2043,4.08,-0.07,1978,4.0733,0.61,1653,3.5779701,-0.26629595
224,3.747,0.065,2322,4.065,-0.245,2051,4.1,-0.13,1988,4.05,0.58,1657,3.5498865,-0.37849933
225,3.645,0.062,2334,4.075,-0.27,2061,4.26,-0.33,1998,4.03,0.77,1659,3.725443,-0.009031407
226,3.651,0.046,2347,3.87,-0.18,2070,4.38,-0.34,2008,4.01,0.72,1663,3.61889915,-0.00877186
227,3.551,0.054,2361,3.77,-0.245,2081,4.37,-0.28,2018,3.88,0.45,1667,3.7854091,-0.19691539
228,3.547,0.119,2375,3.785,-0.405,2091,4.34,-0.31,2028,3.9966,0.6466,1669,3.7729295,-0.17191521
229,3.383,0.08,2388,3.815,-0.325,2106,4.48,-0.34,2038,3.89,0.51,1671,3.603402667,-0.235463603
230,3.66,0.056,2399,3.5,-0.22,2121,4.2,-0.3,2048,3.75,0.56,1673,3.5801192,-0.35093475
231,3.577,0.071,2410,3.52,-0.4,2137,4.33,-0.5,2058,4.05,0.51,1675,3.5385162,-0.22824602
232,3.532,0.066,2420,3.76,-0.26,2146,4.21,-0.36,2068,3.8,0.54,1677,3.6271532,-0.0925233
233,3.331,0.055,2430,3.49,-0.2166,2156,4.12,-0.39,2078,3.85,0.49,1681,3.6207594,-0.23185769
234,3.201,0.053,2440,3.535,-0.125,2162,3.91,-0.34,2088,3.73,0.63,1685,3.5973258,-0.45680273
235,3.075,0.059,2450,3.81,-0.48,2168,3.88,-0.22,2098,3.66,0.75,1689,3.5487039,-0.41917506
236,3.017,0.045,2461,3.77,-0.47,2176,3.94,-0.23,2108,3.85,0.62,1693,3.4729971,-0.37866483
237,2.828,0.04,2472,3.55,-0.27,2183,3.74,-0.15,2118,3.7,0.41,1697,3.5737585,0.14935961
238,2.872,0.059,2484,4.575,-0.65,2190,3.72,0.05,2128,3.99,0.49,1701,3.4343411,-0.28770212
239,2.8,0.042,2495,4.61,-0.7,2201,3.58,-0.02,2138,3.625,0.655,1705,3.4713383,0.12753904
240,2.803,0.055,2506,4.58,-0.58,2215,3.87,-0.2,2148,3.73,0.68,1709,3.4528782,-0.14833122
241,2.901,0.082,2514,4.39,-0.79,2228,4.35,-0.3,2158,3.82,0.46,1713,3.4328394,-0.363508485
242,3.038,0.062,2517,4.39,-0.37,2241,4.4,-0.38,2168,3.71,0.75,1717,3.4382187,0.094569696
243,3.138,0.076,2527,4.3,-0.25,2250,4.21,-0.17,2178,3.68,0.42,1721,3.4403001,-0.20612078
244,3.414,0.058,2537,4.56,-0.595,2260,4.04,-0.21,2188,3.54,0.45,1725,3.46963585,0.17003767
245,3.526,0.063,2542,4.33,-0.64,2270,4.01,-0.12,2198,3.62,0.11,1729,3.5365565,0.022018135
246,3.739,0.048,2546,4.48,-0.44,2278,4.08,-0.06,2208,3.65,0.46,1733,3.4737657,-0.13697541
247,3.666,0.04,2552,4.15,-0.51,2287,4.01,-0.02,2218,3.72,0.34,1737,3.3929558,-0.14613787
248,3.741,0.073,2562,4.25,-0.34,2295,3.79,0.02,2228,3.68,0.27,1741,3.4488948,-0.22894817
249,3.719,0.052,2571,4.19,-0.49,2301,4.02,-0.21,2238,3.55,0.32,1745,3.4490402,-0.08853306
250,3.859,0.045,2583,4.06,-0.57,2308,4.18,-0.24,2248,3.6,0.26,1749,3.51837,-0.37205718
251,3.937,0.041,2592,4.13,-0.64,2314,4.39,-0.27,2258,3.72,-0.04,1753,3.5175763,-0.13289615
252,3.986,0.044,2602,4.17,-0.85,2322,4.88,-0.45,2268,3.83,0.48,1757,3.5327987,-0.27687616
253,3.88,0.061,2612,4.31,-0.9,2330,4.78,-0.39,2278,3.94,0.14,1761,3.5180532,-0.36936588
254,3.933,0.043,2622,4.28,-0.72,2339,5.1,-0.58,2288,3.83,0.425,1765,3.5495432,-0.13288701
255,3.726,0.053,2632,4.27,-0.79,2348,4.79,-0.54,2298,3.82,-0.46,1769,3.6266191,-0.076517759
256,3.788,0.061,2652,4.02,-0.53,2356,4.93,-0.62,2308,3.81,0.32,1773,3.5487105,-0.83316944
257,3.914,0.045,2662,3.78,-0.5,2365,4.99,-0.59,2318,3.95,0.35,1777,3.5806547,-0.63138131
258,3.869,0.054,2674,3.77,-0.52,2376,4.86,-0.6,2328,3.95,0.33,1781,3.4894987,-0.09159642
259,3.878,0.044,2676,4.14,-0.45,2383,4.76,-0.64,2338,3.85,0.45,1785,3.5472886,-0.33571008
260,3.824,0.056,2681,3.5,-0.16,2397,4.81,-0.59,2348,3.71,0.18,1789,3.5694607,-0.45034749
261,3.876,0.03,2686,3.5,0.05,2408,4.67,-0.62,2358,3.61,-0.19,1793,3.6552186,-0.51604859
262,3.812,0.054,2696,3.54,0.09,2421,4.73,-0.6,2368,3.69,0,1797,3.6713405,-0.004160619
263,3.818,0.054,2706,3.4,-0.37,2430,4.73,-0.6,2374,3.73,0.41,1801,3.6153071,-0.2877501
264,3.779,0.039,2726,3.96,-0.57,2440,4.74,-0.68,2384,3.56,0.31,1805,3.4620626,-0.23590613
265,3.801,0.054,2736,4.27,-0.5,2448,4.72,-0.56,2394,3.62,0.45,1809,3.4386273,-0.23770515
266,3.862,0.047,2746,4.34,-0.22,2460,4.59,-0.74,2404,3.86,0.43,1813,3.3399405,-0.29776475
267,3.863,0.051,2756,4.17,-0.12,2471,4.55,-0.65,2414,3.87,0.46,1817,3.4708838,-0.18724971
268,3.689,0.055,2766,3.87,-0.13,2476,4.61,-0.61,2424,3.63,0.38,1821,3.3537705,-0.37922749
269,3.882,0.059,2776,3.71,-0.16,2483,4.54,-0.64,2434,3.58,0.48,1825,3.33619745,-0.326426635
270,3.872,0.059,2786,3.76,-0.26,2488,4.51,-0.72,2444,3.31,0.72,1829,3.1717916,-0.168155651
271,3.862,0.049,2796,4.06,-0.32,2494,4.47,-0.65,2454,3.5,0.27,1833,3.0787249,-0.66961918
272,3.798,0.058,2806,4.15,-0.32,2501,4.33,-0.56,2464,3.08,0.38,1837,3.0885838,0.02773514
273,3.796,0.031,2815,3.87,0.03,2507,4.55,-0.65,2474,3.22,0.63,1840,2.8111346,0.42940922
274,3.742,0.042,2826,3.9,-0.08,2509,4.32,-0.51,2484,3.64,0.44,1844,2.7148281,0.33553834
275,3.739,0.052,2837,3.96,-0.16,2520,4.55,-0.58,2494,3.95,0.31,1848,2.7348848,0.33239196
276,3.663,0.064,2847,4.09,-0.23,2530,4.42,-0.58,2504,3.77,0.49,1852,2.7433409,-0.008049242
277,3.802,0.054,2856,4.28,-0.11,2536,4.38,-0.57,2514,3.38,0.59,1856,2.82203,0.4322149
278,3.667,0.052,2866,4.04,-0.08,2540,4.56,-0.7,2524,3.17,0.03,1860,2.7121788,-0.03986921
279,3.593,0.069,2875,3.89,0.02,2543,4.42,-0.63,2534,3.4,-0.04,1864,2.6592983,0.27973975
280,3.503,0.048,2885,3.69,0.07,2546,4.49,-0.78,2544,3.55,0.62,1866,3.0815617,0.23690973
281,3.571,0.04,2896,3.67,0.05,2549,4.44,-0.6,2554,3.65,0.67,1868,3.8668062,-0.32069952
282,3.342,0.051,2906,3.88,-0.12,2553,4.43,-0.46,2564,3.34,0.495,1872,3.8694926,-0.21140287
283,3.235,0.055,2916,3.92,-0.14,2558,4.03,-0.28,2574,3.58,0.55,1876,3.915308,-0.62996939
284,3.219,0.035,2925,4.31,-0.26,2600,4.48,-0.51,2584,3.6,0.44,1880,3.849911,-0.60121713
285,3.201,0.038,2936,4.43,-0.29,2624,4.63,-0.62,2594,3.61,0.41,1884,4.0304704,-0.69646523
286,3.183,0.047,2953,4.18,-0.58,2633,4.59,-0.53,2604,3.5,0.71,1888,4.1235887,-0.70152441
287,3.249,0.038,2956,4.19,-0.53,2639,4.64,-0.48,2614,3.2,0.34,1892,4.1273119,-0.65999726
288,3.38,0.058,2968,4.07,-0.45,2644,4.43,-0.39,2624,3.29,0.34,1896,4.072233,-0.46221236
289,3.423,0.053,2979,3.97,-0.24,2649,4.23,-0.41,2634,3.45,0.48,1900,4.0591605,-0.30819345
290,3.458,0.055,2989,3.65,-0.1,2657,4.18,-0.13,2644,3.49,0.34,1902,4.2207731,-0.74758241
291,3.472,0.042,2999,3.5,-0.02,2671,4.27,-0.24,2654,3.26,0.195,1904,4.5352246,-0.95079974
292,3.626,0.07,3010,3.165,0.025,2707,4.39,-0.42,2664,3.41,0.42,1912,4.3803455,-0.71128396
293,3.578,0.064,3021,3.3,0.07,2728,4.3,-0.58,2674,3.23,0.53,1924,4.4240229,-0.56941996
294,3.692,0.051,3031,3.62,0.2,2737,4.41,-0.6,2684,3.32,0.33,1928,4.3522669,0.095314724
295,3.671,0.034,3040,3.705,-0.015,2744,4.34,-0.37,2694,3.65,0.33,1938,4.4386731,-0.9975178
296,3.59,0.043,3047,3.75,-0.06,2749,4.52,-0.64,2704,3.68,0.52,1968,4.4900887,-0.5190945
297,3.657,0.064,3055,3.985,-0.015,2756,4.65,-0.7,2714,3.43,0.55,1978,4.3631826,-0.54577515
298,3.534,0.037,3065,3.82,-0.275,2773,4.47,-0.54,2724,3.34,0.04,2078,4.3464215,-0.91102312
299,3.588,0.036,3077,4.225,-0.355,2785,4.47,-0.55,2734,2.93,0.75,2088,4.2713349,-0.84118298
300,3.378,0.07,3090,3.97,-0.155,2798,4.31,-0.4,2735,3.25,0.82,2118,4.2804282,-0.40697182
301,3.42,0.066,3103,3.92,0.01,2809,4.11,-0.42,2744,3.535,0.575,2138,4.1344716,-0.63765297
302,3.423,0.071,3124,4,-0.2,2819,4.16,-0.55,2754,2.995,0.715,2143,4.1913793,-1.1860564
303,3.358,0.055,3134,4.04,-0.36,2829,4.03,-0.29,2764,3.455,0.875,2148,4.199598,-0.81363837
304,3.428,0.043,3145,4.28,-0.44,2839,3.94,-0.35,2774,2.72,0.4,2158,4.1992824,-0.9181355
305,3.433,0.073,3156,4.25,-0.35,2848,3.98,-0.47,2775,3.3466,0.54,2163,4.1477919,-0.55214665
306,3.41,0.055,3167,4.185,-0.315,2858,3.73,-0.2,2784,3.02,0.62,2168,4.106343625,-0.928789638
307,3.358,0.041,3177,4.2,-0.29,2868,3.68,-0.24,2794,3.045,0.64,2173,4.135828525,-0.791396563
308,3.209,0.043,3188,4.17,-0.39,2878,3.66,-0.44,2804,3.3,0.655,2178,4.1147106,-1.0644579
309,3.223,0.055,3199,3.96,-0.34,2889,3.77,-0.38,2814,3.33,0.59,2183,4.1465385,-0.82086841
310,3.159,0.058,3212,3.85,-0.05,2899,4.03,-0.42,2824,3.34,0.98,2188,4.207039,-1.0725322
311,3.056,0.044,3224,3.73,-0.135,2908,4.135,-0.475,2834,3.54,0.78,2193,4.1670964,-1.0196745
312,3.147,0.052,3234,3.78,-0.005,2927,3.97,-0.36,2844,3.49,0.61,2198,4.1479702,-0.96130518
313,3.053,0.064,3241,3.675,0.09,2937,4.68,-0.64,2854,3.4,0.63,2203,4.3222076,-0.89731935
314,3.13,0.061,3247,3.545,0.08,2948,4.63,-0.62,2864,3.47,0.74,2208,4.1545616,-1.092371
315,2.977,0.064,3252,3.55,0.13,2959,4.6,-0.67,2868,3.49,0.88,2213,4.1578046,-0.61686269
316,3.053,0.067,3258,3.62,0.14,2969,4.41,-0.53,2872,3.7,0.84,2218,4.2336522,-0.90957353
317,3.249,0.048,3262,3.86,0.055,2978,4.44,-0.49,2876,3.64,0.64,2223,4.1577337,-1.1599746
318,3.118,0.041,3269,3.95,0.11,2987,4.08,-0.62,2880,3.53,0.84,2228,4.1863753,-0.73104933
319,2.937,0.051,3278,3.825,0.165,2997,4.38,-0.49,2884,3.38,0.97,2233,4.2154262,-0.85347352
320,3.024,0.048,3290,3.94,-0.245,3008,4.3,-0.39,2888,3.44,0.83,2243,4.2684848,-0.9894925
321,2.888,0.05,3307,4.155,-0.29,3018,4.17,-0.3,2892,3.185,0.89,2248,4.3172823,-1.0083901
322,2.887,0.046,3328,4.37,-0.295,3028,4.01,-0.22,2896,3.33,0.94,2253,4.2252285,-0.94603178
323,2.83,0.051,3344,4.49,-0.44,3038,3.86,-0.31,2900,3.14,0.99,2258,4.315602,-0.87243072
324,2.574,0.049,3353,4.385,-0.26,3047,4.12,-0.4,2904,2.905,0.93,2268,4.39173,-1.044571
325,2.669,0.041,3361,4.18,-0.38,3078,4.05,-0.4,2908,3.01,1.09,2278,4.1913827,-0.84534732
326,2.592,0.038,3367,4.19,-0.26,3088,4.03,-0.67,2912,2.98,0.85,2283,4.1848318,-1.0040767
327,2.58,0.04,3373,4.03,-0.385,3098,4.06,-0.5,2916,3,0.9,2288,4.3259378,-1.0639801
328,2.594,0.05,3380,4.055,-0.215,3108,3.99,-0.43,2920,3.02,0.91,2293,4.3597309,-0.981003
329,2.552,0.037,3388,3.92,-0.205,3118,3.77,-0.28,2924,3.17,0.88,2298,4.2292781,-0.90990583
330,2.657,0.043,3399,3.45,0.26,3128,3.67,-0.42,2928,3.17,0.99,2308,4.1704865,-0.67629234
331,2.647,0.06,3415,3.6,0.22,3138,3.72,-0.39,2932,2.88,1.06,2318,4.2734815,-1.0654416
332,2.752,0.077,3437,3.32,0.1,3149,3.85,-0.3,2936,2.73,0.47,2338,4.2984997,-1.0558838
333,2.742,0.068,3463,3.36,0.15,3159,4.04,-0.45,2940,2.75,1.14,2343,4.267349,-1.2840795
334,2.87,0.081,3478,3.43,-0.15,3168,3.59,-0.4,2968,2.56,0.69,2358,4.2588028,-1.2223495
335,3.107,0.083,3485,3.665,-0.42,3178,3.62,-0.47,2972,2.69,0.72,2368,4.1910225,-0.54969624
336,3.44,0.082,3489,4.005,-0.475,3189,3.94,-0.43,2976,2.77,0.86,2394,3.9499638,-0.80597512
337,3.591,0.075,3493,4.265,-0.545,3202,4.46,-0.74,2980,3.16,0.99,2404,4.2054988,-1.0449675
338,3.535,0.074,3497,4.29,-0.65,3216,4.44,-0.83,2984,3.08,1.13,2414,4.0617649,-1.1973512
339,3.779,0.068,3501,4.26,-0.59,3232,4.79,-0.82,2988,3.04,1.045,2424,4.1782115,-1.0622956
340,3.957,0.056,3506,4.05,-0.24,3246,4.69,-0.82,2992,3.16,1.17,2434,3.9424805,-1.1507048
341,4.2,0.064,3513,3.98,-0.465,3257,4.78,-0.85,2996,3.21,1.11,2464,3.8742209,-0.34835312
342,4.187,0.049,3527,4.25,-0.06,3266,4.72,-0.8,3000,2.94,1.07,2474,4.1206253,-0.9889723
343,4.162,0.065,3545,4.05,-0.17,3274,4.56,-0.81,3004,3.03,1.02,2484,3.9915506,-1.0765532
344,4.116,0.066,3560,3.76,-0.225,3282,4.46,-0.85,3008,2.87,0.86,2504,3.9755402,-0.69455341
345,4.152,0.052,3571,3.69,-0.06,3291,4.54,-0.89,3012,2.68,0.88,2514,3.928752,-0.31135333
346,4.039,0.06,3578,3.71,-0.13,3302,4.51,-0.79,3020,2.5,0.94,2544,3.9892236,-0.92519752
347,3.885,0.072,3586,3.68,0.03,3315,4.45,-0.79,3024,2.58,1.01,2554,3.8698972,-0.67463598
348,3.845,0.1,3593,3.75,-0.16,3326,4.46,-0.69,3068,2.8,-0.05,2564,4.1457165,-1.0512739
349,3.976,0.042,3601,3.715,-0.095,3333,4.05,-0.51,3072,3.09,0.48,2574,3.985386754,-1.081008524
350,4.029,0.053,3611,3.64,-0.07,3339,4.17,-0.57,3076,3.2,0.87,2584,3.9452262,-0.64826444
351,4.003,0.05,3622,3.665,-0.235,3343,4.22,-0.65,3080,3.14,0.49,2594,3.9152236,-0.655525
352,3.833,0.091,3635,3.88,-0.26,3348,4.15,-0.66,3084,3.215,0.74,2604,3.9014924,-0.82582209
353,3.831,0.045,3651,4.21,-0.45,3353,4.09,-0.54,3088,3.16,0.35,2614,3.9066313,-0.92625627
354,3.757,0.059,3652,4.22,-0.425,3360,4.15,-0.79,3092,3.45,0.69,2624,3.8893313,-0.95030127
355,3.946,0.035,3674,4.06,-0.4,3370,4.15,-0.76,3096,3.47,0.655,2634,3.814319167,-1.05554901
356,3.816,0.065,3685,3.91,-0.08,3391,4.26,-0.98,3100,3.37,0.62,2644,3.83658,-0.45134035
357,3.91,0.068,3696,3.96,0.09,3414,4.4,-1.06,3104,3.42,0.6,2654,3.9675645,-0.78279827
358,3.935,0.035,3708,3.97,-0.01,3427,4.53,-0.96,3114,3.68,0.58,2664,4.0189693,-0.54659972
359,3.85,0.083,3720,3.82,0.06,3435,4.46,-0.91,3124,3.56,0.765,2674,3.9012808,-0.97646693
360,3.895,0.039,3729,3.71,0.08,3440,4.47,-0.94,3134,3.63,0.73,2684,4.1171262,-0.68269387
361,3.855,0.057,3738,3.75,-0.25,3443,4.24,-0.8,3144,3.63,0.7,2694,4.0008879,-0.6663622
362,3.856,0.043,3747,3.8,-0.04,3454,4.23,-0.75,3154,3.45,0.73,2704,3.7632541,-0.14325198
363,3.888,0.045,3754,4.01,-0.07,3467,4.03,-0.57,3164,3.28,0.84,2714,3.87844275,-1.05633385
364,3.716,0.04,3761,4.18,-0.16,3477,3.95,-0.51,3174,3.22,0.73,2744,4.049024044,-0.996318547
365,3.819,0.048,3767,4.19,-0.2,3488,3.51,-0.42,3184,3.65,0.91,2794,3.9266343,-1.2576111
366,3.683,0.06,3773,4.18,-0.46,3498,3.76,-0.25,3194,3.67,0.82,2804,3.8408885,-0.69855235
367,3.731,0.042,3780,4.07,-0.49,3509,3.63,-0.26,3204,3.49,1,2876,3.6799825,-0.37367666
368,3.759,0.045,3789,3.99,-0.49,3519,3.53,-0.2,3208,3.29,1.02,2880,3.7371565,-0.78197948
369,3.739,0.039,3804,4.14,-0.48,3529,3.39,-0.29,3212,3.27,0.96,2884,3.563456,-0.91419659
370,3.72,0.047,3822,4.04,-0.4,3539,3.34,-0.4,3216,3.4,0.91,2888,3.5718972,-0.24577064
371,3.631,0.051,3836,4.05,-0.22,3548,4.08,-0.53,3220,3.31,0.98,2892,3.5357121,-0.62284598
372,3.783,0.043,3846,3.52,0.16,3558,3.81,-0.43,3224,3.22,0.9,2896,3.4135134,-0.498549975
373,3.647,0.065,3856,3.49,0.15,3578,4.21,-0.29,3228,3.12,1.11,2900,3.432689767,-0.624417667
374,3.698,0.06,3865,3.41,0.25,3588,3.98,-0.26,3232,3.22,1.03,2908,3.4551705,-0.6477553
375,3.556,0.051,3874,3.52,0.04,3598,3.89,-0.23,3236,3.16,1.13,2916,3.3377016,-0.22393709
376,3.57,0.052,3882,3.445,0.03,3608,3.83,-0.29,3240,3.065,1.145,2920,3.3359969,0.007077554
377,3.558,0.037,3890,3.67,-0.08,3618,3.7,-0.16,3244,2.75,0.98,2924,3.3954389,0.18850799
378,3.545,0.03,3898,4.1,-0.17,3628,3.94,-0.32,3248,2.83,0.98,2928,3.5135452,-0.93338243
379,3.533,0.046,3908,4.27,-0.28,3638,4,-0.42,3252,2.47,0.66,2932,3.2294253,-0.50885735
380,3.554,0.045,3915,4.18,-0.38,3648,3.805,-0.29,3256,2.48,0.71,2936,3.3082128,-0.5089213
381,3.512,0.029,3918,4.16,-0.34,3657,3.96,-0.37,3284,2.23,0.48,2940,3.3817715,-0.40131161
382,3.409,0.058,3922,4.06,-0.29,3667,4.085,-0.375,3288,3.16,0.16,2944,3.2056896,-0.19604187
383,3.477,0.027,3928,4.12,-0.21,3676,4.06,-0.4,3292,3.35,0.56,2948,3.0982734,-0.49749742
